"filename", "language", "CSS", "JavaScript", "Vue", "XML", "comment", "blank", "total"
"d:\Project\mashangxueyuan1\src\App.vue", "Vue", 0, 0, 9, 0, 10, 1, 20
"d:\Project\mashangxueyuan1\src\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Project\mashangxueyuan1\src\components\Details.vue", "Vue", 0, 0, 16, 0, 0, 2, 18
"d:\Project\mashangxueyuan1\src\components\HelloWorld.vue", "Vue", 0, 0, 34, 0, 0, 7, 41
"d:\Project\mashangxueyuan1\src\components\Home.vue", "Vue", 0, 0, 186, 0, 39, 9, 234
"d:\Project\mashangxueyuan1\src\components\InfoList.vue", "Vue", 0, 0, 69, 0, 2, 5, 76
"d:\Project\mashangxueyuan1\src\main.js", "JavaScript", 0, 9, 0, 0, 1, 4, 14
"d:\Project\mashangxueyuan1\src\router\index.js", "JavaScript", 0, 15, 0, 0, 0, 6, 21
"d:\Project\mashangxueyuan1\src\style.css", "CSS", 70, 0, 0, 0, 0, 10, 80
"Total", "-", 70, 24, 314, 1, 52, 44, 505